generation,best_fitness,avg_fitness
1,1.75476190,0.06267007
2,1.75476190,1.69209184
3,1.75476190,1.75476190
4,1.91428571,1.09957483
5,1.91428571,1.31607143
6,2.87142857,1.62942177
7,2.87142857,1.43571429
8,2.87142857,1.62372449
9,3.03095238,1.91428571
10,3.03095238,2.21624150
11,3.03095238,2.46122449
12,3.03095238,2.69481293
13,4.14761905,2.57517007
14,4.14761905,2.32448980
15,4.30714286,2.37576531
16,4.30714286,2.76318027
17,4.30714286,3.07653061
18,4.30714286,3.26454082
19,4.30714286,3.95391156
20,4.30714286,3.63486395
21,4.30714286,3.82857143
22,4.30714286,3.72032313
23,4.30714286,4.19319728
24,4.30714286,3.73741497
25,4.30714286,3.60068027
26,4.30714286,4.09634354
27,4.30714286,3.93681973
